input_id	dealiased_id	standard_id	short_id
isbn:9781873136874	isbn:9781873136874	isbn:9781873136874	J5Vqgx0O
doi:10.15184/aqy.2023.11	doi:10.15184/aqy.2023.11	doi:10.15184/aqy.2023.11	tqsgWPX2
https://romaninscriptionsofbritain.org/inscriptions/TabVindol291	https://romaninscriptionsofbritain.org/inscriptions/TabVindol291	url:https://romaninscriptionsofbritain.org/inscriptions/TabVindol291	BqbMK1Da
voronetsky-kuznetsov	voronetsky-kuznetsov	voronetsky-kuznetsov	eI420F8L
wikidata:Q1153229	wikidata:Q1153229	wikidata:Q1153229	7IsUbDq6
doi:10.1080/00665983.2021.1949148	doi:10.1080/00665983.2021.1949148	doi:10.1080/00665983.2021.1949148	1AHS26gld
isbn:9789004389403	isbn:9789004389403	isbn:9789004389403	16Iud71ot
isbn:9789004362383	isbn:9789004362383	isbn:9789004362383	DjwEhVbP
